"Função heurística: div(cost,mul(area,pow(degree,2)))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@Perl_ck_return,0,0,0,0,0,1,0,0,0,0,1
function@Perl_ck_select,0,0,0,0,0,5,0,0,0,0,2.18349
function@Perl_ck_shift,0,0,0,0,0,4,0,0,0,0,1.74194
function@Perl_ck_sort,3,1,0,2,1,8,0.00732422,0.000205994,0.00494385,0.000549316,0.839814
function@Perl_ck_split,0,0,0,0,0,8,0,0,0,0,2.73639
function@Perl_ck_stringify,0,0,0,0,0,1,0,0,0,0,0.296296
function@Perl_ck_join,0,1,0,1,1,2,0,0.0944206,0.0944206,0.0944206,0.0686695
function@Perl_find_lexical_cv,0,0,0,0,0,0,0,0,0,0,0
function@Perl_rv2cv_op_cv,4,2,0,7,5,1,1.01223,0.0292475,0.0441372,1.07684,0.0061154
function@Perl_ck_entersub_args_list,0,0,0,0,0,1,0,0,0,0,1
function@Perl_ck_entersub_args_proto,40,29,0,34,25,35,51.3582,39.197,27.0201,12.2616,52.637
function@S_bad_type_gv,0,0,0,0,0,2,0,0,0,0,2
function@Perl_ck_entersub_args_proto_or_list,0,0,0,0,0,2,0,0,0,0,1.5
function@Perl_ck_entersub_args_core,6,10,0,6,1,7,1.2063,1.53071,1.19843,0.311811,53.052
function@Perl_cv_get_call_checker,0,0,0,0,0,1,0,0,0,0,0.6
function@Perl_cv_set_call_checker,0,0,0,0,0,0,0,0,0,0,0
function@Perl_cv_set_call_checker_flags,0,0,0,0,0,1,0,0,0,0,0.5
function@Perl_ck_subr,6,8,0,5,1,8,1.86523,3.65035,1.80902,0.375,34.8784
function@Perl_ck_svconst,0,0,0,0,0,2,0,0,0,0,2
function@Perl_ck_trunc,0,0,0,0,0,2,0,0,0,0,0.594595
function@Perl_ck_substr,0,0,0,0,0,2,0,0,0,0,2
function@Perl_ck_tell,0,0,0,0,0,0,0,0,0,0,0
function@Perl_ck_each,2,1,0,1,1,3,1.20684,0.20684,1,1,2.5
function@Perl_ck_length,1,0,0,0,3,4,0.0390879,0,0,0.345277,2.06515
function@S_maybe_multideref,54,39,0,41,20,22,77.5202,120.435,86.0261,66.4727,48.4038
function@Perl_rpeep,147,50,0,79,34,46,106.053,40.5858,49.0838,3.20547,87.9378
function@S_aassign_common_vars,0,0,0,0,0,2,0,0,0,0,5.29069
function@S_aassign_common_vars_aliases_only,0,0,0,0,0,1,0,0,0,0,3.7156
function@Perl_peep,0,0,0,0,0,0,0,0,0,0,0
function@Perl_custom_op_register,0,0,0,0,0,2,0,0,0,0,1.38095
function@Perl_core_prototype,5,16,0,4,8,9,1.60403,6.02809,2.06066,3.60792,13.4587
function@Perl_coresub_op,0,0,0,0,0,29,0,0,0,0,6.93149
function@Perl_wrap_op_checker,0,0,0,0,0,0,0,0,0,0,0
function@S_scalar_slice_warning,1,4,0,1,3,2,0.00670827,0.0134165,0.00670827,0.0201248,0.0174416
function@S_cant_declare,0,0,0,0,0,2,0,0,0,0,1.33333
function@S_apply_attrs_my,2,3,0,1,0,26,0.425373,1.38806,1,0,12.9851
function@S_dup_attrlist,0,0,0,0,0,5,0,0,0,0,8.90476
function@uvcompare,0,0,0,0,0,4,0,0,0,0,2.75
function@Perl_sv_report_used,0,0,0,0,0,0,0,0,0,0,0
function@Perl_sv_clean_objs,0,0,0,0,0,4,0,0,0,0,72.255
function@Perl_sv_clean_all,0,0,0,0,0,1,0,0,0,0,1
function@Perl_sv_free_arenas,0,0,0,0,0,3,0,0,0,0,469.083
function@Perl_more_bodies,2,1,0,3,3,4,1.48,1,3,3,18.52
function@Perl_sv_upgrade,44,21,0,12,4,13,6.421,4.65184,3.5713,0.618752,2.50511
function@Perl_sv_force_normal_flags,11,20,0,9,4,24,0.894663,2.12853,2.04582,0.303157,6.38083
function@Perl_sv_reftype,0,0,0,0,0,2,0,0,0,0,1.49908
function@Perl_sv_backoff,0,0,0,0,0,0,0,0,0,0,0
function@Perl_sv_grow,8,12,0,10,4,15,2.30631,5.06306,3.85586,1.65766,5.51351
function@Perl_sv_unref_flags,0,0,0,0,0,3,0,0,0,0,1.25806
function@Perl_sv_setiv,0,0,0,0,0,1,0,0,0,0,1
function@Perl_sv_magic,0,0,0,0,0,5,0,0,0,0,2.38788
function@Perl_sv_setiv_mg,0,0,0,0,0,0,0,0,0,0,0
function@Perl_sv_setuv,0,0,0,0,0,0,0,0,0,0,0
function@Perl_sv_setuv_mg,0,0,0,0,0,0,0,0,0,0,0
function@Perl_sv_setnv,0,0,0,0,0,1,0,0,0,0,1
function@Perl_sv_setnv_mg,0,0,0,0,0,0,0,0,0,0,0
