"Função heurística: original",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@lzma_block_compressed_size,0,0,0,0,0,8,0,0,0,0,1.50916
function@lzma_block_unpadded_size,0,0,0,0,0,7,0,0,0,0,0.520147
function@lzma_block_total_size,0,0,0,0,0,8,0,0,0,0,2.46886
function@lzma_easy_buffer_encode,0,0,0,0,0,2,0,0,0,0,1.5
function@lzma_index_decoder,0,0,0,0,0,3,0,0,0,0,2.375
function@index_decoder_init,0,0,0,0,0,1,0,0,0,0,0.185841
function@lzma_index_buffer_decode,1,0,0,1,0,3,0.0781249,0,0.15625,0,0.682291
function@index_decode,13,5,0,7,1,19,12.6077,4.71976,3.77876,0.787611,22.0649
function@index_decoder_end,0,0,0,0,0,0,0,0,0,0,0
function@index_decoder_memconfig,0,0,0,0,0,2,0,0,0,0,1.64
function@lzma_stream_header_decode,0,0,0,0,0,2,0,0,0,0,1.37445
function@lzma_stream_footer_decode,0,0,0,0,0,3,0,0,0,0,1.40969
function@lzma_stream_header_encode,0,0,0,0,0,0,0,0,0,0,0
function@lzma_stream_footer_encode,0,0,0,0,0,4,0,0,0,0,1.12941
function@lzma_vli_decode,12,4,0,12,1,14,4.46114,6.21541,11.7162,0.1875,12.7631
function@lzma_block_decoder_init,0,0,0,0,0,3,0,0,0,0,1.36264
function@block_decode,11,8,0,13,0,20,0.3959,0.83987,1.98417,0,2.21413
function@block_decoder_end,0,0,0,0,0,0,0,0,0,0,0
function@lzma_block_decoder,0,0,0,0,0,3,0,0,0,0,2.375
function@lzma_index_hash_init,0,0,0,0,0,2,0,0,0,0,1.375
function@lzma_index_hash_size,0,0,0,0,0,1,0,0,0,0,1
function@lzma_index_hash_append,0,1,0,1,0,8,0,0.0976562,0.0976562,0,5.5
function@lzma_index_hash_decode,12,9,0,9,0,13,7.57669,7.21285,6.02265,0,14.3627
function@lzma_alone_decoder_init,0,0,0,0,0,1,0,0,0,0,1
function@alone_decode,2,2,0,2,0,9,1.42147,0.865465,0.83305,0,4.50208
function@alone_decoder_memconfig,0,0,0,0,0,2,0,0,0,0,1.64
function@lzma_alone_decoder,0,0,0,0,0,5,0,0,0,0,2.74793
function@lzma_block_buffer_bound,0,0,0,0,0,6,0,0,0,0,2.5
function@lzma_block_buffer_encode,1,1,0,1,0,17,0.0026226,0.00572193,0.011444,0,1.38651
function@block_encode_normal,13,1,0,8,0,9,0.30664,0.0175781,1.3457,0,3.42578
function@block_encode_uncompressed,3,1,0,3,0,13,1.42822,0.0439453,1.12207,0,5.94922
function@lzma_easy_encoder_memusage,0,0,0,0,0,0,0,0,0,0,0
function@lzma_stream_flags_compare,1,0,0,1,0,7,0.00246781,0,0.00332618,0,0.0531116
function@lzma_sha256_init,0,0,0,0,0,0,0,0,0,0,0
function@lzma_sha256_update,1,0,0,1,0,7,21.25,0,21.25,0,101.833
function@process,160,69,0,121,1,263,4589.12,1796.38,2953,31.875,7303.12
function@lzma_sha256_finish,0,0,0,0,0,15,0,0,0,0,197.667
function@lzma_check_is_supported,0,0,0,0,0,0,0,0,0,0,0
function@lzma_check_size,0,0,0,0,0,0,0,0,0,0,0
