"Função heurística: original",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@Perl_ck_svconst,0,0,0,0,0,2,0,0,0,0,2
function@Perl_ck_trunc,0,0,0,0,0,2,0,0,0,0,0.594595
function@Perl_ck_substr,0,0,0,0,0,0,0,0,0,0,0
function@Perl_ck_tell,0,0,0,0,0,0,0,0,0,0,0
function@Perl_ck_each,0,0,0,0,0,3,0,0,0,0,2.5
function@Perl_ck_length,0,0,0,0,0,4,0,0,0,0,2.06515
function@S_maybe_multideref,88,39,0,48,19,17,138.219,98.9192,89.1021,60.6461,47.1045
function@Perl_rpeep,189,59,0,98,34,53,60.7544,21.4199,34.5438,5.5342,106.493
function@S_aassign_common_vars,0,0,0,0,0,2,0,0,0,0,5.29069
function@S_aassign_common_vars_aliases_only,0,0,0,0,0,1,0,0,0,0,3.7156
function@Perl_peep,0,0,0,0,0,0,0,0,0,0,0
function@Perl_custom_op_register,0,0,0,0,0,2,0,0,0,0,1.38095
function@Perl_core_prototype,17,20,0,9,16,2,12.7704,12.2643,5.42778,5.74244,5.24167
function@Perl_coresub_op,0,0,0,0,0,27,0,0,0,0,6.83819
function@Perl_wrap_op_checker,0,0,0,0,0,0,0,0,0,0,0
function@Perl_sv_report_used,0,0,0,0,0,0,0,0,0,0,0
function@Perl_sv_clean_objs,0,0,0,0,0,4,0,0,0,0,72.255
function@Perl_sv_del_backref,8,4,0,4,0,2,3.375,1.18382,2.95588,0,0.404412
function@Perl_sv_free2,0,0,0,0,0,0,0,0,0,0,0
function@S_curse,18,6,0,8,0,12,15.3274,8.38014,8.93113,0,5.80948
function@Perl_newRV,0,0,0,0,0,4,0,0,0,0,25.6667
function@Perl_sv_clean_all,0,0,0,0,0,1,0,0,0,0,1
function@Perl_sv_free_arenas,0,0,0,0,0,3,0,0,0,0,469.083
function@Perl_more_bodies,7,1,0,4,3,4,6.12,1,3.32,3,18.52
function@Perl_sv_upgrade,29,15,0,11,9,12,3.51488,4.10686,3.77904,1.00885,2.28979
function@Perl_sv_force_normal_flags,8,16,0,7,2,19,0.607432,1.88796,1.96032,0.187203,6.21626
function@Perl_sv_reftype,0,0,0,0,0,2,0,0,0,0,1.49908
function@Perl_sv_backoff,0,0,0,0,0,0,0,0,0,0,0
function@Perl_sv_grow,11,14,0,12,5,13,3.3964,7.06306,4.9009,1.77928,4.39189
function@Perl_sv_unref_flags,0,0,0,0,0,3,0,0,0,0,1.25806
function@Perl_sv_setiv,0,0,0,0,0,1,0,0,0,0,1
function@Perl_sv_magic,0,0,0,0,0,5,0,0,0,0,2.38788
function@Perl_sv_setiv_mg,0,0,0,0,0,0,0,0,0,0,0
function@Perl_sv_setuv,0,0,0,0,0,0,0,0,0,0,0
function@Perl_sv_setuv_mg,0,0,0,0,0,0,0,0,0,0,0
function@Perl_sv_setnv,0,0,0,0,0,1,0,0,0,0,1
function@Perl_sv_setnv_mg,0,0,0,0,0,0,0,0,0,0,0
function@Perl_looks_like_number,0,0,0,0,0,1,0,0,0,0,0.999999
function@Perl_sv_2pv_flags,43,27,0,24,29,26,44.7058,13.1167,11.4735,17.6787,38.7584
function@Perl_sv_2iv_flags,0,1,0,0,2,16,0,0.1356,0,0.271201,3.63759
function@S_not_a_number,0,0,0,0,0,1,0,0,0,0,1
function@Perl_report_uninit,0,0,0,0,0,5,0,0,0,0,1.60156
function@S_sv_2iuv_common,6,4,0,5,11,22,1.08313,0.397949,0.553284,1.20703,3.62048
function@S_sv_display,13,3,0,2,1,14,39.9059,16.2824,1.75294,0.470588,54.4941
function@Perl_newSVpvn_flags,1,0,0,1,1,6,11.9688,0,0.375,11.9688,26.0625
function@S_sv_2iuv_non_preserve,0,0,0,0,0,2,0,0,0,0,1.25
function@S_glob_2number,0,0,0,0,0,8,0,0,0,0,14.9375
function@Perl_sv_newmortal,0,0,0,0,0,6,0,0,0,0,27.1429
function@Perl_sv_2uv_flags,0,0,0,0,0,14,0,0,0,0,3.45979
function@Perl_sv_2nv_flags,1,0,0,12,0,25,0.999999,0,1.01172,0,1.28502
function@Perl_sv_2num,0,0,0,0,0,12,0,0,0,0,17.5542
function@Perl_sv_tainted,0,0,0,0,0,1,0,0,0,0,1
function@Perl_sv_2mortal,0,0,0,0,0,3,0,0,0,0,1.64865
function@Perl_newSVuv,0,0,0,0,0,7,0,0,0,0,25.4
function@Perl_sv_copypv_flags,0,0,0,0,0,1,0,0,0,0,0.5
function@Perl_sv_setpvn,0,0,0,0,0,4,0,0,0,0,1.46018
function@Perl_sv_2pvbyte,1,0,0,1,1,13,9,0,0.28125,9,22.7812
function@Perl_sv_utf8_downgrade,5,5,0,3,1,8,0.397949,0.940369,0.8125,0.0448608,2.09082
function@Perl_sv_2pvutf8,0,0,0,0,0,3,0,0,0,0,2
function@Perl_sv_mortalcopy_flags,0,0,0,0,0,6,0,0,0,0,26.8125
function@Perl_sv_utf8_upgrade_flags_grow,64,35,0,42,26,29,5.05075,2.34614,4.50772,2.06578,3.50564
function@Perl_sv_2bool_flags,0,0,0,0,0,7,0,0,0,0,18.0783
function@Perl_sv_pvn_force_flags,0,0,0,0,0,4,0,0,0,0,1.40625
function@Perl_sv_recode_to_utf8,0,0,0,0,0,15,0,0,0,0,4.25
